PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF,Year
893,1,Michael Jordan,1610612741,CHI,80,38.8,11.8,22.7,0.519,0.3,1.3,0.27,6.1,7.4,0.832,1.1,5.3,6.4,6.1,2.3,0.9,2.5,30.1,31.1,1991
252,2,Karl Malone,1610612762,UTH,81,37.7,9.9,18.7,0.526,0.0,0.2,0.176,8.3,10.7,0.778,2.8,8.4,11.2,3.0,1.3,0.6,3.1,28.0,29.9,1991
904,3,Chris Mullin,1610612744,GOS,81,41.3,10.2,19.6,0.524,0.8,2.2,0.366,4.3,5.2,0.833,1.6,4.0,5.6,3.5,2.1,0.8,2.5,25.6,24.9,1991
17,4,Clyde Drexler,1610612757,POR,76,36.2,9.1,19.4,0.47,1.5,4.4,0.337,5.3,6.6,0.794,2.2,4.4,6.6,6.7,1.8,0.9,3.2,25.0,26.3,1991
121,5,Patrick Ewing,1610612752,NYK,82,38.4,9.7,18.6,0.522,0.0,0.1,0.167,4.6,6.2,0.738,2.8,8.5,11.2,1.9,1.1,3.0,2.5,24.0,28.1,1991
896,6,Tim Hardaway,1610612744,GOS,81,41.1,9.1,19.7,0.461,1.6,4.6,0.338,3.7,4.8,0.766,1.0,2.8,3.8,10.0,2.0,0.2,3.3,23.4,24.3,1991
764,7,David Robinson,1610612759,SAN,68,37.7,8.7,15.8,0.551,0.0,0.1,0.125,5.8,8.3,0.701,3.8,8.4,12.2,2.7,2.3,4.5,2.7,23.2,32.6,1991
787,8,Charles Barkley,1610612755,PHL,75,38.4,8.3,15.0,0.552,0.4,1.8,0.234,6.1,8.7,0.695,3.6,7.5,11.1,4.1,1.8,0.6,3.1,23.1,28.1,1991
782,9,Mitch Richmond,1610612758,SAC,80,38.7,8.6,18.3,0.468,1.3,3.4,0.384,4.1,5.1,0.813,0.8,3.2,4.0,5.1,1.2,0.4,3.1,22.5,19.5,1991
779,10,Glen Rice,1610612748,MIA,79,38.1,8.5,18.1,0.469,2.0,5.0,0.391,3.4,4.0,0.836,1.1,3.9,5.0,2.3,1.1,0.4,1.8,22.3,19.1,1991
894,11,Ricky Pierce,1610612760,SEA,78,34.1,7.9,16.7,0.475,0.4,1.6,0.268,5.3,5.8,0.916,1.2,1.8,3.0,3.1,1.1,0.3,2.4,21.7,17.4,1991
165,12,Hakeem Olajuwon,1610612745,HOU,70,37.7,8.4,16.8,0.502,0.0,0.0,0.0,4.7,6.1,0.766,3.5,8.6,12.1,2.2,1.8,4.3,2.7,21.6,29.6,1991
921,13,Brad Daugherty,1610612739,CLE,73,36.2,7.9,13.8,0.57,0.0,0.0,0.0,5.7,7.3,0.777,2.6,7.8,10.4,3.6,0.9,1.1,2.5,21.5,27.3,1991
937,14,Scottie Pippen,1610612741,CHI,82,38.6,8.4,16.6,0.506,0.2,1.0,0.2,4.0,5.3,0.76,2.3,5.4,7.7,7.0,1.9,1.1,3.1,21.0,26.1,1991
77384,15,Reggie Lewis,1610612738,BOS,82,37.4,8.6,17.0,0.503,0.1,0.3,0.238,3.6,4.2,0.851,1.4,3.4,4.8,2.3,1.5,1.3,1.7,20.8,19.9,1991
397,16,Reggie Miller,1610612754,IND,82,38.0,6.9,13.7,0.501,1.6,4.2,0.378,5.4,6.3,0.858,1.0,2.9,3.9,3.8,1.3,0.3,1.9,20.7,20.4,1991
77845,17,Drazen Petrovic,1610612751,NJN,82,36.9,8.1,16.0,0.508,1.5,3.4,0.444,2.8,3.5,0.808,1.2,2.0,3.1,3.1,1.3,0.1,2.6,20.6,17.1,1991
383,18,Kendall Gill,1610612766,CHH,79,36.8,8.4,18.1,0.467,0.1,0.3,0.24,3.6,4.8,0.745,2.1,3.0,5.1,4.2,1.9,0.6,2.3,20.5,19.2,1991
117,19,Jeff Malone,1610612762,UTH,81,36.1,8.5,16.7,0.511,0.0,0.1,0.083,3.2,3.5,0.898,0.6,2.3,2.9,2.2,0.7,0.1,1.7,20.2,15.8,1991
204,20,Jeff Hornacek,1610612756,PHX,81,38.0,7.8,15.3,0.512,1.0,2.3,0.439,3.4,3.9,0.886,1.3,3.7,5.0,5.1,2.0,0.4,2.1,20.1,22.6,1991
247,21,Joe Dumars,1610612765,DET,82,38.9,7.2,16.0,0.448,0.6,1.5,0.408,5.0,5.8,0.867,1.0,1.3,2.3,4.6,0.9,0.1,2.4,19.9,15.9,1991
134,22,Kevin Johnson,1610612756,PHX,78,37.2,6.9,14.4,0.479,0.1,0.6,0.217,5.7,7.1,0.807,0.8,3.0,3.7,10.7,1.5,0.3,3.5,19.7,23.6,1991
330,23,Danny Manning,1610612746,LAC,82,35.4,7.9,14.6,0.542,0.0,0.1,0.0,3.4,4.7,0.725,2.8,4.1,6.9,3.5,1.6,1.5,2.6,19.3,22.2,1991
913,24,Larry Johnson,1610612766,CHH,82,37.2,7.5,15.3,0.49,0.1,0.3,0.227,4.1,5.0,0.829,3.9,7.0,11.0,3.6,1.0,0.6,2.0,19.2,24.7,1991
765,25,Hersey Hawkins,1610612755,PHL,81,37.2,6.4,13.9,0.462,1.1,2.8,0.397,5.0,5.7,0.874,0.7,2.7,3.3,3.1,1.9,0.5,2.3,19.0,17.3,1991
36,26,Sarunas Marciulionis,1610612744,GOS,72,29.4,6.8,12.7,0.538,0.0,0.1,0.3,5.2,6.6,0.788,0.9,1.9,2.9,3.4,1.6,0.1,2.7,18.9,17.0,1991
78318,27,Isiah Thomas,1610612765,DET,78,37.4,7.2,16.2,0.446,0.3,1.1,0.291,3.7,4.8,0.772,0.9,2.3,3.2,7.2,1.5,0.2,3.2,18.5,17.3,1991
456,28,Chuck Person,1610612754,IND,81,36.1,7.6,15.9,0.48,1.6,4.4,0.373,1.6,2.4,0.675,1.4,3.9,5.3,4.7,0.8,0.2,2.7,18.5,17.8,1991
76176,29,Rolando Blackman,1610612742,DAL,75,33.7,7.1,15.5,0.461,0.9,2.3,0.385,3.2,3.5,0.898,1.0,2.1,3.2,2.7,0.7,0.3,2.0,18.3,14.4,1991
788,30,Kevin Willis,1610612737,ATL,81,36.6,7.3,15.1,0.483,0.1,0.5,0.162,3.6,4.5,0.804,5.2,10.4,15.5,2.1,0.9,0.7,2.4,18.3,26.4,1991
166,31,Ron Harper,1610612746,LAC,82,38.3,6.9,15.8,0.44,0.8,2.6,0.303,3.6,4.9,0.736,1.5,4.0,5.5,5.1,1.9,0.9,3.1,18.2,18.3,1991
199,32,Reggie Williams,1610612743,DEN,81,32.4,7.4,15.8,0.471,0.7,1.9,0.359,2.7,3.3,0.803,1.8,3.2,5.0,2.9,1.8,0.8,2.1,18.2,17.6,1991
345,33,Terry Porter,1610612757,POR,82,34.0,6.4,13.8,0.461,1.6,4.0,0.395,3.8,4.5,0.856,0.6,2.5,3.1,5.8,1.5,0.1,2.3,18.1,18.4,1991
149,34,Michael Adams,1610612764,WAS,78,35.8,6.2,15.8,0.393,1.6,4.9,0.324,4.0,4.6,0.869,0.7,3.2,4.0,7.6,1.9,0.1,2.7,18.1,18.7,1991
899,35,Mark Price,1610612739,CLE,72,29.7,6.1,12.5,0.488,1.4,3.6,0.387,3.8,4.0,0.947,0.5,1.9,2.4,7.4,1.3,0.2,2.2,17.3,19.8,1991
901,36,Otis Thorpe,1610612745,HOU,82,37.3,6.8,11.5,0.592,0.0,0.1,0.0,3.7,5.6,0.657,3.5,7.0,10.5,3.0,0.6,0.5,2.9,17.3,22.4,1991
105,37,Dan Majerle,1610612756,PHX,82,34.8,6.7,14.1,0.478,1.1,2.8,0.382,2.8,3.7,0.756,1.8,4.1,5.9,3.3,1.6,0.5,1.2,17.3,19.2,1991
187,38,Terry Cummings,1610612759,SAN,70,30.7,7.3,15.0,0.488,0.1,0.2,0.385,2.5,3.6,0.711,3.5,5.5,9.0,1.5,0.8,0.5,1.6,17.3,18.7,1991
96,39,Detlef Schrempf,1610612754,IND,80,32.6,6.2,11.6,0.536,0.3,0.9,0.324,4.6,5.5,0.828,2.5,7.1,9.6,3.9,0.8,0.5,2.4,17.3,23.3,1991
137,40,Vernon Maxwell,1610612745,HOU,80,33.8,6.3,15.2,0.413,2.0,5.9,0.342,2.6,3.3,0.772,0.5,2.6,3.0,4.1,1.3,0.4,2.2,17.2,14.0,1991
1489,41,Lionel Simmons,1610612758,SAC,78,37.1,6.8,14.9,0.454,0.0,0.1,0.2,3.6,4.7,0.77,1.9,6.2,8.1,4.3,1.7,1.7,2.8,17.1,21.0,1991
698,42,Eddie Johnson,1610612760,SEA,81,29.2,6.6,14.4,0.459,0.3,1.3,0.252,3.6,4.2,0.861,1.5,2.1,3.6,2.0,0.7,0.1,1.6,17.1,13.6,1991
77685,43,Larry Nance,1610612739,CLE,81,35.6,6.9,12.7,0.539,0.0,0.1,0.0,3.2,4.0,0.822,2.6,5.6,8.3,2.9,1.0,3.0,1.1,17.0,24.4,1991
288,44,Armen Gilliam,1610612755,PHL,81,34.2,6.3,12.4,0.511,0.0,0.0,0.0,4.2,5.2,0.807,2.9,5.3,8.1,1.5,0.6,1.0,2.0,16.9,19.1,1991
76338,45,Tony Campbell,1610612750,MIN,78,31.3,6.8,14.6,0.464,0.2,0.5,0.351,3.1,3.8,0.803,1.8,1.9,3.7,2.9,1.1,0.4,2.1,16.8,14.1,1991
47,46,Wayman Tisdale,1610612758,SAC,72,35.0,7.3,14.5,0.5,0.0,0.0,0.0,2.1,2.8,0.763,1.9,4.6,6.5,1.5,0.8,1.1,1.7,16.6,16.8,1991
87,47,Dikembe Mutombo,1610612743,DEN,71,38.3,6.0,12.2,0.493,0.0,0.0,0.0,4.5,7.0,0.642,4.5,7.8,12.3,2.2,0.6,3.0,3.5,16.6,22.3,1991
71,48,Pooh Richardson,1610612750,MIN,82,35.6,7.2,15.4,0.466,0.6,1.9,0.342,1.5,2.2,0.691,1.1,2.6,3.7,8.4,1.5,0.3,2.5,16.5,18.9,1991
938,49,Rony Seikaly,1610612748,MIA,79,35.4,5.9,12.0,0.489,0.0,0.0,0.0,4.7,6.4,0.733,3.9,7.9,11.8,1.4,0.5,1.5,2.7,16.4,21.1,1991
251,50,Sean Elliott,1610612759,SAN,82,38.0,6.3,12.7,0.494,0.3,1.0,0.305,3.5,4.0,0.861,1.7,3.6,5.4,2.6,1.0,0.4,1.9,16.3,16.8,1991
892,51,Spud Webb,1610612758,SAC,77,35.4,5.8,13.1,0.445,0.9,2.6,0.367,3.4,4.0,0.859,0.4,2.5,2.9,7.1,1.6,0.3,3.0,16.0,17.1,1991
304,52,John Stockton,1610612762,UTH,82,36.6,5.5,11.5,0.482,1.0,2.5,0.407,3.8,4.5,0.842,0.8,2.5,3.3,13.7,3.0,0.3,3.5,15.8,26.0,1991
107,53,Dale Ellis,1610612749,MIL,81,27.0,6.0,12.8,0.469,1.7,4.1,0.419,2.0,2.6,0.774,1.1,2.0,3.1,1.3,0.7,0.2,1.5,15.7,12.2,1991
209,54,Dell Curry,1610612766,CHH,77,26.2,6.5,13.5,0.486,1.0,2.4,0.404,1.6,2.0,0.836,0.7,2.6,3.4,2.3,1.2,0.3,1.7,15.7,13.8,1991
77449,55,Moses Malone,1610612749,MIL,82,30.6,5.4,11.3,0.474,0.0,0.1,0.375,4.8,6.1,0.786,3.9,5.2,9.1,1.1,0.9,0.8,1.8,15.6,18.4,1991
9,56,Sedale Threatt,1610612747,LAL,82,37.4,6.2,12.7,0.489,0.2,0.8,0.323,2.5,3.0,0.831,0.5,2.6,3.1,7.2,2.0,0.2,2.2,15.1,18.5,1991
52,57,Micheal Williams,1610612754,IND,79,34.8,5.1,10.4,0.49,0.1,0.4,0.242,4.7,5.4,0.871,0.9,2.6,3.6,8.2,2.9,0.3,3.0,15.0,21.0,1991
76217,58,Sam Bowie,1610612751,NJN,71,30.7,5.9,13.3,0.445,0.1,0.4,0.32,3.0,3.9,0.757,2.9,5.3,8.1,2.6,0.6,1.7,2.1,15.0,17.5,1991
2,59,Byron Scott,1610612747,LAL,82,32.7,5.6,12.3,0.458,0.7,1.9,0.344,3.0,3.5,0.838,0.9,2.9,3.8,2.8,1.3,0.3,1.5,14.9,14.3,1991
767,60,Terry Catledge,1610612753,ORL,78,31.2,5.9,11.8,0.496,0.0,0.1,0.0,3.1,4.4,0.694,3.3,3.7,7.0,1.4,0.7,0.2,1.8,14.8,15.1,1991
3,61,Grant Long,1610612748,MIA,82,37.4,5.4,10.9,0.494,0.1,0.3,0.273,4.0,4.9,0.807,3.2,5.3,8.4,2.7,1.7,0.5,2.3,14.8,19.4,1991
182,62,Billy Owens,1610612744,GOS,80,31.4,5.9,11.1,0.525,0.0,0.1,0.111,2.6,3.9,0.654,3.0,5.0,8.0,2.4,1.1,0.8,2.2,14.3,17.7,1991
270,63,Horace Grant,1610612741,CHI,81,35.3,5.6,9.8,0.578,0.0,0.0,0.0,2.9,3.9,0.741,4.2,5.7,10.0,2.7,1.2,1.6,1.2,14.2,23.3,1991
305,64,Robert Parish,1610612738,BOS,79,28.9,5.9,11.1,0.535,0.0,0.0,0.0,2.3,2.9,0.772,2.8,6.2,8.9,0.9,0.9,1.2,1.7,14.1,18.5,1991
101,65,Scott Skiles,1610612753,ORL,75,31.7,4.8,11.6,0.414,1.2,3.3,0.364,3.3,3.7,0.895,0.5,2.2,2.7,7.3,1.0,0.1,3.1,14.1,14.8,1991
181,66,Kenny Smith,1610612745,HOU,81,33.8,5.3,11.2,0.475,0.7,1.7,0.394,2.7,3.1,0.866,0.4,1.8,2.2,6.9,1.3,0.1,2.8,14.0,15.4,1991
78615,67,Orlando Woolridge,1610612765,DET,82,25.8,5.5,11.1,0.498,0.0,0.1,0.111,2.9,4.3,0.683,1.3,1.8,3.2,1.1,0.5,0.4,1.6,14.0,10.6,1991
77081,68,Jay Humphries,1610612749,MIL,71,31.8,5.3,11.3,0.469,0.6,2.0,0.292,2.7,3.5,0.783,0.6,2.0,2.6,6.6,1.7,0.2,2.1,14.0,16.1,1991
28,69,Doug West,1610612750,MIN,80,31.8,5.8,11.2,0.518,0.1,0.3,0.174,2.3,2.9,0.805,1.3,1.9,3.2,3.5,0.8,0.3,1.5,14.0,14.4,1991
317,70,John Starks,1610612752,NYK,82,25.8,4.9,11.0,0.449,1.1,3.3,0.348,2.9,3.7,0.778,0.5,1.8,2.3,3.4,1.3,0.2,1.8,13.9,12.4,1991
22,71,Rik Smits,1610612754,IND,74,23.9,5.9,11.6,0.51,0.0,0.0,0.0,2.1,2.6,0.788,1.7,4.0,5.6,1.6,0.4,1.4,1.8,13.8,14.8,1991
302,72,Mookie Blaylock,1610612751,NJN,72,35.4,6.0,13.8,0.432,0.2,0.8,0.222,1.8,2.5,0.712,1.4,2.3,3.7,6.8,2.4,0.6,2.1,13.8,16.7,1991
1365,73,Xavier McDaniel,1610612752,NYK,82,28.6,6.0,12.5,0.478,0.1,0.5,0.308,1.7,2.3,0.714,2.1,3.5,5.6,1.8,0.7,0.3,1.8,13.7,13.2,1991
76046,74,Ron Anderson,1610612755,PHL,82,29.7,5.7,12.3,0.465,0.5,1.5,0.331,1.7,2.0,0.877,1.2,2.2,3.4,1.6,1.0,0.1,1.3,13.7,11.8,1991
920,75,A.C. Green,1610612747,LAL,82,35.4,4.7,9.8,0.476,0.1,0.7,0.214,4.1,5.6,0.744,3.7,5.6,9.3,1.4,1.1,0.4,1.4,13.6,18.0,1991
333,76,Kevin Gamble,1610612738,BOS,82,30.4,5.9,11.1,0.529,0.1,0.4,0.29,1.7,1.9,0.885,1.0,2.5,3.5,2.7,0.9,0.5,1.2,13.5,14.4,1991
278,77,Stacey Augmon,1610612737,ATL,82,30.5,5.4,11.0,0.489,0.0,0.1,0.167,2.6,3.9,0.666,2.3,2.8,5.1,2.5,1.5,0.3,2.2,13.3,13.6,1991
716,78,Rumeal Robinson,1610612737,ATL,81,27.4,5.2,11.5,0.456,0.4,1.3,0.327,2.2,3.4,0.636,0.8,1.9,2.7,5.5,1.3,0.3,2.5,13.0,12.8,1991
930,79,Kenny Gattison,1610612766,CHH,82,27.1,5.2,9.7,0.529,0.0,0.0,0.0,2.4,3.5,0.688,2.2,4.9,7.1,1.6,0.7,0.8,1.7,12.7,15.6,1991
760,80,Jerome Kersey,1610612757,POR,77,33.2,5.2,11.1,0.467,0.0,0.1,0.125,2.3,3.4,0.664,3.1,5.1,8.2,3.2,1.5,0.9,2.0,12.6,17.4,1991
898,81,Blue Edwards,1610612762,UTH,81,28.2,5.3,10.2,0.522,0.5,1.3,0.379,1.4,1.8,0.774,1.1,2.6,3.7,1.7,1.0,0.6,1.5,12.6,12.7,1991
